route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,49506522,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166791,1085495,1,2
1,1,49506523,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166762,1085495,1,2
1,1,49506524,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166763,1085495,1,2
1,1,49506525,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166792,1085495,1,2
1,1,49506526,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166793,1085495,1,2
1,1,49506527,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166765,1085495,1,2
1,1,49506528,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166766,1085495,1,2
1,1,49506529,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166755,1085495,1,2
1,1,49506530,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166794,1085495,1,2
1,1,49506531,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166795,1085495,1,2
1,1,49506532,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166796,1085495,1,2
1,1,49506533,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166797,1085495,1,2
1,1,49506534,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166798,1085495,1,2
1,1,49506535,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166799,1085495,1,2
1,1,49506536,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166800,1085495,1,2
1,1,49506537,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166777,1085495,1,2
1,1,49506538,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166778,1085495,1,2
1,1,49506539,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166779,1085495,1,2
1,1,49506540,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166780,1085495,1,2
1,1,49506541,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166776,1085495,1,2
1,1,49506542,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166781,1085495,1,2
1,1,49506543,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166782,1085495,1,2
